,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.2812,0.0,flower1.jpg,flower1_pair.jpg,left,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.1715,1.0,flower2_pair.jpg,flower2.jpg,right,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
2,6,2.0,left.jpg,left,1.2616,left,14.0,right,0.0,0.6536,2.0,flower3.jpg,flower3_pair.jpg,left,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
3,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.473,3.0,flower4.jpg,flower4_pair.jpg,left,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.0061,4.0,flower5_pair.jpg,flower5.jpg,right,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.1455,5.0,flower6.jpg,flower6_pair.jpg,left,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
6,10,6.0,flower6.jpg,,,,,,,,,,,,A3H1A5PGLBBWR0_2022-11-24_10h22.56.476.csv
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.7589,0.0,flower1.jpg,flower1_pair.jpg,left,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
8,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.5839,1.0,flower2_pair.jpg,flower2.jpg,right,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
9,6,2.0,left.jpg,left,1.6596,left,14.0,left,1.0,1.699,2.0,flower3.jpg,flower3_pair.jpg,left,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4037,3.0,flower4.jpg,flower4_pair.jpg,left,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
11,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.4771,4.0,flower5_pair.jpg,flower5.jpg,right,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.1868,5.0,flower6.jpg,flower6_pair.jpg,left,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
13,10,6.0,flower6.jpg,,,,,,,,,,,,A5SHVX15AQJQF_2022-11-24_10h24.01.860.csv
14,4,0.0,flower1.jpg,,,,12.0,right,0.0,26.513,0.0,flower1.jpg,flower1_pair.jpg,left,A3KVIZLKSASAES_2022-11-24_10h37.14.539.csv
15,5,1.0,flower2.jpg,,,,13.0,left,0.0,7.804,1.0,flower2_pair.jpg,flower2.jpg,right,A3KVIZLKSASAES_2022-11-24_10h37.14.539.csv
