button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[4.077799999952333],[4.077799999952333],A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,space,7.7756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,left,1,0,2,2,2,1,left.jpg,left,2.5613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,left,1,7.0914,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,right,1,5.718,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,left,1,9.1848,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,left,1,4.0962,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,right,1,2.5876,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,left,1,4.0174,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,space,2.0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2874302418-65978.jpg,2898626385-216899.jpg,1,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2898618390-216538.jpg,2238574968-36441.jpg,3,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2458347385-199723.jpg,2238436632-314070.jpg,3,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2883254439-140941.jpg,2460548070-200336.jpg,2,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2874307433-66280.jpg,2986447306-296584.jpg,1,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2898634397-367080.jpg,2237944827-301472.jpg,1,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2449442529-124445.jpg,2901946439-144040.jpg,3,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2868475410-213219.jpg,2901946465-218350.jpg,1,,,,,,,,,,,,,,,,
,,,A1UEHTBS0LZAA0,25,male,9,2022-11-24_10h24.18.973,memory_pilot_most_recent,2022.2.4,Win32,16.13215461,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,2238480677-317399.jpg,2238573546-258454.jpg,3,,,,,,,,,,,,,,,,
