button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[267.17499999999995],[267.17499999999995],A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,space,8.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,left,1,0,2,2,2,1,left.jpg,left,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,0,11.442,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,1,3.884,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,0,3.586,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,0,4.162,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,1,2.77,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,right,0,2.67,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,space,5.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2874307433-66280.jpg,2864900357-361688.jpg,2,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2868475410-213219.jpg,2238558380-181702.jpg,3,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2901952513-70703.jpg,2238537701-251773.jpg,3,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2898633421-291973.jpg,2989730319-147821.jpg,3,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2449442529-124445.jpg,2901948476-293423.jpg,2,,,,,,,,,,,,,,,,
,,,A2FQVRBXJZQAWT,31,Female,8,2022-11-24_07h31.51.430,memory_pilot_most_recent,2022.2.4,Win32,2.285714286,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2901947423-70311.jpg,2860312398-62572.jpg,1,,,,,,,,,,,,,,,,
