button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[1.9292000000001792],[1.9292000000001792],AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,space,2.0858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,left,1,0,2,2,2,1,left.jpg,left,0.4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,left,1,9.2996,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,right,1,2.8415,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,left,1,3.1099,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,left,1,4.1451,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,right,1,3.0803,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,left,1,3.3788,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,space,5.3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2981231403-71642.jpg,2238574878-36413.jpg,3,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2238428357-313623.jpg,2856919327-359675.jpg,3,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2452381505-199546.jpg,2898622392-366513.jpg,3,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2238425482-313537.jpg,2981244403-72215.jpg,2,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2901939379-143479.jpg,2446759803-49251.jpg,1,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2901939379-143480.jpg,2981229442-369621.jpg,1,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2458347385-199723.jpg,2512875824-126658.jpg,2,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2874303365-214262.jpg,2512875685-200826.jpg,2,,,,,,,,,,,,,,,,
,,,AV3SDPGK4SMIM,38,female,6,2022-11-24_10h23.57.118,memory_pilot_most_recent,2022.2.4,Win32,59.70862192,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,2898635428-69104.jpg,2446759803-49250.jpg,1,,,,,,,,,,,,,,,,
