button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest
1,[3.2448999996185535],[3.2448999996185535],AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,space,7.3015,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,left,1,0,2,2,2,1,left.jpg,left,1.5198,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,right,0,9.0093,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,right,1,1.1397,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,left,1,0.7221,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,right,0,1.1294,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,left,0,1.0345,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,right,0,0.3114,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,,,,,,,,,,,,,,,,,,,,,,,
,,,AWT023NSAEQLX,30,MALE,8,2022-09-21_10h13.43.135,memory_pilot_most_recent,2022.2.4,Win32,15.54581351,space,7.6926,,,,,,,,,,,,,,,,,,,,,
