button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[4.007799999952319],[4.007900000095368],A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,space,5.2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,left,1,0,2,2,2,1,left.jpg,left,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,left,1,4.3174,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,left,0,8.1065,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,left,1,2.761,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,left,1,4.1337,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,right,1,3.0284,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,right,0,4.6879,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,space,1.7229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2868474407-362883.jpg,2901948383-70363.jpg,3,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2238428357-313623.jpg,2986408339-146952.jpg,3,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2986451363-73599.jpg,2898626385-216899.jpg,1,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2898635428-69104.jpg,2901943411-292945.jpg,2,,,,,,,,,,,,,,,,
,,,A3MC0GSXYQ2P7A,39,Male,8,2022-10-06_03h37.53.421,memory_pilot_most_recent,2022.2.4,Win32,9.120842036,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2901952513-70703.jpg,2868469411-287540.jpg,2,,,,,,,,,,,,,,,,
