,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,csv_path
0,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,31EUONYN2197T6F9EJVLRZYJPI2VOE,A1J39RAV7TKEMF,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:20:48 PDT 2022,Wed Sep 28 06:20:48 PDT 2022,,,,1390,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
1,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,32N49TQG3MOIR2L840Q3Q4EE01ZAVV,A2EVO0JF0V6Q1,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:32:21 PDT 2022,Wed Sep 28 06:32:21 PDT 2022,,,,2083,0% (0/0),0% (0/0),0% (0/0),'tjs',x,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
2,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,340UGXU9D4726BZ6A57UQ5Q874QVUR,AWT023NSAEQLX,Submitted,Wed Sep 21 06:57:56 PDT 2022,Wed Sep 21 07:25:20 PDT 2022,Wed Sep 28 07:25:20 PDT 2022,,,,1644,0% (0/0),0% (0/0),0% (0/0),8547965,,no results file was found on pavlovia servers,
3,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,34Z02EIMIYJ7DXJ173TV0GEGUU6T06,A1XIXGOB9KUMPJ,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:30:11 PDT 2022,Wed Sep 28 06:30:11 PDT 2022,,,,1953,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A1XIXGOB9KUMPJ_2022-09-21_09h19.13.047.csv
4,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,386CSBG1O5SPZSDOSOFH4CDKNQTQ6Q,A1STC10BXEP495,Submitted,Wed Sep 21 06:57:45 PDT 2022,Wed Sep 21 07:14:49 PDT 2022,Wed Sep 28 07:14:49 PDT 2022,,,,1024,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A1STC10BXEP495_2022-09-21_08h03.48.970.csv
5,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,39PAAFCODS6N6YKHA0HKL946OQJVT0,AN7Z42U38BCQT,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:24:51 PDT 2022,Wed Sep 28 06:24:51 PDT 2022,,,,1633,0% (0/0),0% (0/0),0% (0/0),tjs,x,,AN7Z42U38BCQT_2022-09-21_09h14.53.949.csv
6,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,3DUZQ9U6SSUMRY72L0CUB48KM75SV8,A8K19FZIUU2TE,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:39:37 PDT 2022,Wed Sep 28 06:39:37 PDT 2022,,,,2519,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A8K19FZIUU2TE_2022-09-21_09h30.55.475.csv
7,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,3DY4FPOOA7UAQJ7P6BCPLU3O05MVRN,A19FW6H7BGKRVT,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:12:10 PDT 2022,Wed Sep 28 06:12:10 PDT 2022,,,,872,0% (0/0),0% (0/0),0% (0/0),'tjs',x,,A19FW6H7BGKRVT_2022-09-21_09h04.36.524.csv
8,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,3E1QT0TDFVFZM88T8V76FOIP2B38IS,ACR6012D868PP,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:17:11 PDT 2022,Wed Sep 28 06:17:11 PDT 2022,,,,1173,0% (0/0),0% (0/0),0% (0/0),tjs,x,,ACR6012D868PP_2022-09-21_09h10.03.692.csv
9,33P2GD6NSSYGZU1GL0HNHXUCO4GHKA,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Wed Sep 21 05:57:30 PDT 2022,21,BatchId:4854628;OriginalHitTemplateId:920937340;,3600,604800,Fri Sep 23 05:57:30 PDT 2022,,,3FFJ6VRIL7UH4J3QDRURM9C7JDR0IX,A2U5OFMW8H30PC,Submitted,Wed Sep 21 05:57:38 PDT 2022,Wed Sep 21 06:16:00 PDT 2022,Wed Sep 28 06:16:00 PDT 2022,,,,1102,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A2U5OFMW8H30PC_2022-09-21_09h03.15.065.csv
