,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,csv_path,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,UPDATE-completed memory rep
0,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,3018Q3ZVOOWQYV4RVGLTP7PBHS6RAZ,A33U3GZXTFC4M4,Submitted,Sun Oct 02 05:47:29 PDT 2022,Sun Oct 02 06:24:24 PDT 2022,Sun Oct 09 06:24:24 PDT 2022,,,,2215,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A33U3GZXTFC4M4_2022-10-02_09h13.45.192.csv,False,False,True,False,True,True,False,1
1,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,308XBLVESOAVH59J1ULPKI9HZARRBU,A3POUEYN59J30P,Submitted,Sun Oct 02 05:47:40 PDT 2022,Sun Oct 02 06:03:32 PDT 2022,Sun Oct 09 06:03:32 PDT 2022,,,,952,0% (0/0),0% (0/0),0% (0/0),'tjs',x,,A3POUEYN59J30P_2022-10-02_08h54.02.842.csv,True,False,False,False,True,False,False,1
2,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,30IQTZXKAQCEUESLCDUSPJZM9NG0XE,A208F2PSMBFG0R,Submitted,Sun Oct 02 07:32:59 PDT 2022,Sun Oct 02 07:49:27 PDT 2022,Sun Oct 09 07:49:27 PDT 2022,,,,988,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A208F2PSMBFG0R_2022-10-02_14h41.24.716.csv,True,False,True,True,True,True,True,1
3,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,31Q0U3WYDVLKMO7CQJUU9P58CM717N,A1AD2BDQYTTJIL,Submitted,Sun Oct 02 06:47:39 PDT 2022,Sun Oct 02 07:20:04 PDT 2022,Sun Oct 09 07:20:04 PDT 2022,,,,1945,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A1AD2BDQYTTJIL_2022-10-02_11h09.56.388.csv,True,True,False,True,True,True,False,1
4,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,32ZKVD547LT3Y3OHQ4KT2K61TWCB3B,A22PT6K5XNIFLA,Submitted,Sun Oct 02 06:47:59 PDT 2022,Sun Oct 02 07:40:56 PDT 2022,Sun Oct 09 07:40:56 PDT 2022,,,,3177,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A22PT6K5XNIFLA_2022-10-02_09h30.03.536.csv,True,False,False,True,True,True,False,1
5,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,337RC3OW0B8ZNLCC1RFTZIUPWAILV4,A2RZYTE48OHTMZ,Submitted,Sun Oct 02 06:47:39 PDT 2022,Sun Oct 02 07:17:09 PDT 2022,Sun Oct 09 07:17:09 PDT 2022,,,,1770,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv,True,True,False,True,True,True,False,1
6,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,33C7UALJVR4OM2CV0OM0NP13N6D18A,A2R2ZA0STNZX9S,Submitted,Sun Oct 02 06:47:49 PDT 2022,Sun Oct 02 07:16:35 PDT 2022,Sun Oct 09 07:16:35 PDT 2022,,,,1726,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv,True,False,True,True,True,True,True,1
7,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,340UGXU9D4726BZ6A57UQ5Q891BVU8,A34LSCB90T5KYE,Submitted,Sun Oct 02 06:47:39 PDT 2022,Sun Oct 02 06:58:15 PDT 2022,Sun Oct 09 06:58:15 PDT 2022,,,,636,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A34LSCB90T5KYE_2022-10-02_09h50.31.623.csv,True,True,True,True,True,True,True,1
8,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,34S9DKFK79V6FFA2IFISJ928JMKYNS,A3AU8PZ6HHBCVT,Submitted,Sun Oct 02 05:47:28 PDT 2022,Sun Oct 02 06:31:50 PDT 2022,Sun Oct 09 06:31:50 PDT 2022,,,,2662,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A3AU8PZ6HHBCVT_2022-10-02_07h24.05.812.csv,True,False,False,True,True,True,True,1
9,3ICOHX7EOHH22U3AR6ZZDAIQI2Z0EC,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Sun Oct 02 05:46:52 PDT 2022,30,BatchId:4889907;OriginalHitTemplateId:920937340;,3600,604800,Tue Oct 04 05:46:52 PDT 2022,,,369J354OFJGYM3JAPSA5AY9IJ066GT,AK52RXEJKR81A,Submitted,Sun Oct 02 05:47:29 PDT 2022,Sun Oct 02 06:12:38 PDT 2022,Sun Oct 09 06:12:38 PDT 2022,,,,1509,100% (1/1),100% (1/1),0% (0/0),tjs,x,,AK52RXEJKR81A_2022-10-02_09h03.39.525.csv,True,False,False,True,True,True,True,1
