,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.418,0.0,flower1.jpg,flower1_pair.jpg,left,A2AESV6JRC0TC0
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.24,1.0,flower2_pair.jpg,flower2.jpg,right,A2AESV6JRC0TC0
2,6,2.0,left.jpg,left,0.914,left,14.0,left,1.0,0.609,2.0,flower3.jpg,flower3_pair.jpg,left,A2AESV6JRC0TC0
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,0.504,3.0,flower4.jpg,flower4_pair.jpg,left,A2AESV6JRC0TC0
4,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.409,4.0,flower5_pair.jpg,flower5.jpg,right,A2AESV6JRC0TC0
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.77,5.0,flower6.jpg,flower6_pair.jpg,left,A2AESV6JRC0TC0
6,10,6.0,flower6.jpg,,,,,,,,,,,,A2AESV6JRC0TC0
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.6711,0.0,flower1.jpg,flower1_pair.jpg,left,AOI6OCXVWYBX1
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.0216,1.0,flower2_pair.jpg,flower2.jpg,right,AOI6OCXVWYBX1
9,6,2.0,left.jpg,left,1.3254,left,14.0,left,1.0,1.7536,2.0,flower3.jpg,flower3_pair.jpg,left,AOI6OCXVWYBX1
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.8884,3.0,flower4.jpg,flower4_pair.jpg,left,AOI6OCXVWYBX1
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.2632,4.0,flower5_pair.jpg,flower5.jpg,right,AOI6OCXVWYBX1
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.1718,5.0,flower6.jpg,flower6_pair.jpg,left,AOI6OCXVWYBX1
13,10,6.0,flower6.jpg,,,,,,,,,,,,AOI6OCXVWYBX1
14,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.8967,0.0,flower1.jpg,flower1_pair.jpg,left,A34WEYAH462CBS
15,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.8851,1.0,flower2_pair.jpg,flower2.jpg,right,A34WEYAH462CBS
16,6,2.0,left.jpg,left,0.9234,left,14.0,left,1.0,1.236,2.0,flower3.jpg,flower3_pair.jpg,left,A34WEYAH462CBS
17,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.6679,3.0,flower4.jpg,flower4_pair.jpg,left,A34WEYAH462CBS
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.4415,4.0,flower5_pair.jpg,flower5.jpg,right,A34WEYAH462CBS
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.4607,5.0,flower6.jpg,flower6_pair.jpg,left,A34WEYAH462CBS
20,10,6.0,flower6.jpg,,,,,,,,,,,,A34WEYAH462CBS
21,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.2127,0.0,flower1.jpg,flower1_pair.jpg,left,A1R3VQ1011VATX
22,5,1.0,flower2.jpg,,,,13.0,left,0.0,9.2354,1.0,flower2_pair.jpg,flower2.jpg,right,A1R3VQ1011VATX
23,6,2.0,left.jpg,left,1.2322,left,14.0,right,0.0,9.0438,2.0,flower3.jpg,flower3_pair.jpg,left,A1R3VQ1011VATX
24,7,3.0,flower3.jpg,,,,15.0,left,1.0,9.1777,3.0,flower4.jpg,flower4_pair.jpg,left,A1R3VQ1011VATX
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,5.1318,4.0,flower5_pair.jpg,flower5.jpg,right,A1R3VQ1011VATX
26,9,5.0,flower5.jpg,,,,17.0,left,1.0,4.9195,5.0,flower6.jpg,flower6_pair.jpg,left,A1R3VQ1011VATX
27,10,6.0,flower6.jpg,,,,,,,,,,,,A1R3VQ1011VATX
28,4,0.0,flower1.jpg,,,,12.0,left,1.0,14.0393,0.0,flower1.jpg,flower1_pair.jpg,left,A3R2EH58I8Q4YI
29,5,1.0,flower2.jpg,,,,13.0,right,1.0,6.0178,1.0,flower2_pair.jpg,flower2.jpg,right,A3R2EH58I8Q4YI
30,6,2.0,left.jpg,left,0.9834,left,14.0,left,1.0,1.4544,2.0,flower3.jpg,flower3_pair.jpg,left,A3R2EH58I8Q4YI
31,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.9072,3.0,flower4.jpg,flower4_pair.jpg,left,A3R2EH58I8Q4YI
32,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.2301,4.0,flower5_pair.jpg,flower5.jpg,right,A3R2EH58I8Q4YI
33,9,5.0,flower5.jpg,,,,17.0,left,1.0,0.8415,5.0,flower6.jpg,flower6_pair.jpg,left,A3R2EH58I8Q4YI
34,10,6.0,flower6.jpg,,,,,,,,,,,,A3R2EH58I8Q4YI
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.3272,0.0,flower1.jpg,flower1_pair.jpg,left,AE3GUAQKXSNQ4
36,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.9025,1.0,flower2_pair.jpg,flower2.jpg,right,AE3GUAQKXSNQ4
37,6,2.0,left.jpg,left,0.7066,left,14.0,left,1.0,1.656,2.0,flower3.jpg,flower3_pair.jpg,left,AE3GUAQKXSNQ4
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.9718,3.0,flower4.jpg,flower4_pair.jpg,left,AE3GUAQKXSNQ4
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.2871,4.0,flower5_pair.jpg,flower5.jpg,right,AE3GUAQKXSNQ4
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.0308,5.0,flower6.jpg,flower6_pair.jpg,left,AE3GUAQKXSNQ4
41,10,6.0,flower6.jpg,,,,,,,,,,,,AE3GUAQKXSNQ4
42,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.6108,0.0,flower1.jpg,flower1_pair.jpg,left,A1XPZRA2XD4GNF
43,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.0825,1.0,flower2_pair.jpg,flower2.jpg,right,A1XPZRA2XD4GNF
44,6,2.0,left.jpg,left,0.311,left,14.0,right,0.0,0.8754,2.0,flower3.jpg,flower3_pair.jpg,left,A1XPZRA2XD4GNF
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.2939,3.0,flower4.jpg,flower4_pair.jpg,left,A1XPZRA2XD4GNF
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,0.6377,4.0,flower5_pair.jpg,flower5.jpg,right,A1XPZRA2XD4GNF
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.3361,5.0,flower6.jpg,flower6_pair.jpg,left,A1XPZRA2XD4GNF
48,10,6.0,flower6.jpg,,,,,,,,,,,,A1XPZRA2XD4GNF
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.884,0.0,flower1.jpg,flower1_pair.jpg,left,A26LH08CVCL8G6
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.8556,1.0,flower2_pair.jpg,flower2.jpg,right,A26LH08CVCL8G6
51,6,2.0,left.jpg,left,1.457,left,14.0,left,1.0,1.0127,2.0,flower3.jpg,flower3_pair.jpg,left,A26LH08CVCL8G6
52,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.735700001,3.0,flower4.jpg,flower4_pair.jpg,left,A26LH08CVCL8G6
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.0845,4.0,flower5_pair.jpg,flower5.jpg,right,A26LH08CVCL8G6
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,0.697,5.0,flower6.jpg,flower6_pair.jpg,left,A26LH08CVCL8G6
55,10,6.0,flower6.jpg,,,,,,,,,,,,A26LH08CVCL8G6
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.1935,0.0,flower1.jpg,flower1_pair.jpg,left,ALYR5CI2SM2JC
57,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.8179,1.0,flower2_pair.jpg,flower2.jpg,right,ALYR5CI2SM2JC
58,6,2.0,left.jpg,left,0.7561,left,14.0,left,1.0,1.6163,2.0,flower3.jpg,flower3_pair.jpg,left,ALYR5CI2SM2JC
59,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.527,3.0,flower4.jpg,flower4_pair.jpg,left,ALYR5CI2SM2JC
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.3559,4.0,flower5_pair.jpg,flower5.jpg,right,ALYR5CI2SM2JC
61,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.7721,5.0,flower6.jpg,flower6_pair.jpg,left,ALYR5CI2SM2JC
62,10,6.0,flower6.jpg,,,,,,,,,,,,ALYR5CI2SM2JC
63,4,0.0,flower1.jpg,,,,12.0,left,1.0,5.5035,0.0,flower1.jpg,flower1_pair.jpg,left,A3REPTAHMY4QO
64,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.3942,1.0,flower2_pair.jpg,flower2.jpg,right,A3REPTAHMY4QO
65,6,2.0,left.jpg,left,0.9942,left,14.0,left,1.0,2.5003,2.0,flower3.jpg,flower3_pair.jpg,left,A3REPTAHMY4QO
66,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.7229,3.0,flower4.jpg,flower4_pair.jpg,left,A3REPTAHMY4QO
67,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.0859,4.0,flower5_pair.jpg,flower5.jpg,right,A3REPTAHMY4QO
68,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.2728,5.0,flower6.jpg,flower6_pair.jpg,left,A3REPTAHMY4QO
69,10,6.0,flower6.jpg,,,,,,,,,,,,A3REPTAHMY4QO
