,demo_arrow_correct,demo_arrow_rt,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A3SSIUMI7ONK5W,0.0,,0.5,2.39555,3.3074,1.4837,1.633333333333333,0.4,0.6,1.2011716666666665,1.132625,1.2468694444444446,1.4457600000000002,0.6,1.0774250000000003,0.6,1.0803300000000002,0.6,2.0,True,False,False,True,True,True,False,A3SSIUMI7ONK5W
A2NVX39CZ34V4E,0.0,,0.3333333333333333,185.59635000000003,278.31890000000004,0.15125,1.12734,1.0,0.6,0.8631249999999999,0.7981708333333334,0.9064277777777776,1.0654549999999998,0.6,0.5972750000000001,0.55,0.926645,0.65,6.0,False,False,True,True,True,False,False,A2NVX39CZ34V4E
A28OD52SMLYQ16,1.0,0.373,0.8333333333333334,3.287333333333333,4.474,3.05,1.0156,1.0,0.7,2.3211166666666667,2.1952222222222217,2.3750714285714287,2.2226500000000002,0.85,2.2532000000000005,0.7,2.4875000000000003,0.55,5.0,True,True,True,True,True,True,True,A28OD52SMLYQ16
A344BXT88DM2ZH,0.0,2.3575,0.5,2.5848833333333334,3.2033,1.9664666666666666,1.2806499999999998,0.6,0.65,1.751566666666667,1.6829714285714286,1.7885025641025645,1.8305249999999997,0.7,1.712775,0.5,1.7114,0.75,5.0,True,False,False,True,True,True,True,A344BXT88DM2ZH
A2MIFJZZPOCI6,0.0,0.2098,0.5,0.8138333333333333,0.3475,1.280166666666667,1.7995999999999999,0.4,0.9,4.201122641509434,9.497016666666667,5.403257407407408,3.7439777777777774,0.95,4.27665,0.8,4.605188235294117,0.95,2.0,True,False,False,True,False,True,True,A2MIFJZZPOCI6
A3N5E6HZDBRFNC,1.0,1.193,0.5,2.4294999999999995,2.4346666666666668,2.4243333333333337,1.0516,1.0,0.65,2.9656833333333337,3.1266666666666665,2.8790000000000004,3.4312999999999994,0.7,2.7674,0.55,2.69835,0.7,7.0,True,True,True,True,True,True,True,A3N5E6HZDBRFNC
A287I4G1Q0K003,1.0,0.7924,0.3333333333333333,0.93175,0.80675,1.18175,,0.0,0.6333333333333333,1.4213333333333333,1.3223863636363635,1.4786184210526314,1.8312599999999997,0.7,1.1473399999999998,0.65,1.2854,0.55,5.0,False,True,False,True,True,True,True,A287I4G1Q0K003
A1YGV1J2URRQDG,0.0,,0.8333333333333334,3.8878333333333335,4.812,3.7030000000000003,,0.0,0.8,2.24345,2.600166666666667,2.154270833333333,1.9684500000000007,0.75,2.52985,0.8,2.23205,0.85,10.0,True,False,False,True,True,True,True,A1YGV1J2URRQDG
A1AW4WCRVLE1C6,1.0,1.5786,0.6666666666666666,3.49685,4.6533,2.918625,1.129525,0.8,0.5833333333333334,2.323326666666667,2.1938919999999995,2.4157800000000003,2.47525,0.7,2.2132099999999997,0.55,2.2815199999999995,0.5,3.0,True,True,True,True,True,True,False,A1AW4WCRVLE1C6
A2Q0XPK1CBAKFA,0.0,,0.6666666666666666,0.39655,0.0155,0.5870750000000001,0.4189400000000001,0.2,0.559322033898305,0.03777457627118644,0.06661538461538458,0.015051515151515154,0.08230999999999997,0.6,0.014890000000000004,0.45,0.014984210526315789,0.631578947368421,22.0,True,False,False,False,True,False,False,A2Q0XPK1CBAKFA
A1NLJ1L4VCQYV2,1.0,0.575,0.6666666666666666,1.7743333333333335,1.668,1.8275000000000001,0.6376,1.0,0.8166666666666667,2.4054666666666673,2.6015454545454544,2.361448979591837,2.2906,0.85,2.4694000000000007,0.85,2.4564,0.75,5.0,True,True,True,True,True,True,True,A1NLJ1L4VCQYV2
A1PX4CR15QC57J,1.0,1.293,0.3333333333333333,11.128166666666667,9.886500000000002,13.6115,1.2673333333333332,0.6,0.5333333333333333,2.565169491525423,2.428178571428571,2.9819375000000012,2.6067894736842105,0.5,2.6338999999999997,0.6,2.4569,0.5,5.0,False,True,False,True,True,True,False,A1PX4CR15QC57J
AS08ODODBG8BX,1.0,1.703,0.6666666666666666,3.532133333333334,4.662599999999999,2.9669000000000003,1.606175,0.8,0.7166666666666667,2.2502,2.214976470588235,2.264125581395349,2.2543949999999997,0.75,2.2705399999999996,0.7,2.2256650000000007,0.7,4.0,True,True,True,True,True,True,True,AS08ODODBG8BX
AK52RXEJKR81A,0.0,,1.0,2.478150000333333,,2.478150000333333,,0.0,0.7333333333333333,2.238623728830509,2.59661875,2.390400000022727,1.930778947368421,0.75,2.4334250000499997,0.85,2.3362749999999997,0.6,3.0,True,False,False,True,True,True,True,AK52RXEJKR81A
ALYR5CI2SM2JC,0.0,,0.6666666666666666,1.9654833333333335,2.0796,1.9084250000000003,0.50046,1.0,0.7166666666666667,1.5316483333333335,1.5037352941176472,1.5426837209302326,1.4747299999999999,0.8,1.5081250000000002,0.55,1.6120900000000002,0.8,4.0,True,False,True,True,True,True,True,ALYR5CI2SM2JC
AZD5EFRI6AB7X,0.0,,0.3333333333333333,5.013466666666667,6.833575,1.37325,1.9438333333333333,0.6,0.6101694915254238,1.4459440677966104,1.4535043478260865,1.4411138888888888,1.219821052631579,0.47368421052631576,1.48557,0.65,1.6211350000000002,0.7,7.0,False,False,False,True,True,True,True,AZD5EFRI6AB7X
A1ZFTV403BYKYJ,0.0,,0.5,13.718166666666669,21.327833333333334,6.1085,,0.0,0.7,2.5409016949152545,2.6281555555555554,2.9079380952380953,2.7520684210526314,0.85,2.431615,0.7,2.44958,0.55,4.0,True,False,False,True,True,True,True,A1ZFTV403BYKYJ
AZ35WMIEU4RRK,1.0,0.872,0.3333333333333333,7.243333333333335,10.185000000000002,1.3599999999999999,1.24875,0.8,0.6666666666666666,1.8192166666666665,1.8269000000000002,1.8153749999999995,1.9180000000000004,0.65,1.7163499999999998,0.7,1.8233000000000004,0.65,3.0,False,True,True,True,True,True,True,AZ35WMIEU4RRK
AOOLS8280CL0Z,1.0,0.7346,0.8333333333333334,1.798916666666667,1.4993,1.85884,0.57462,1.0,0.85,1.9756333333333334,2.656677777777778,1.8554490196078428,1.8818899999999998,0.9,1.9787000000000003,0.9,2.0663100000000005,0.75,4.0,True,True,True,True,True,True,True,AOOLS8280CL0Z
A289D98Z4GAZ28,1.0,0.7496,0.8333333333333334,1.4970666666666663,1.6317,1.4701400000000002,0.6627799999999999,1.0,0.8333333333333334,1.4290433333333332,1.81843,1.351166,1.331215,0.9,1.518685,0.75,1.43723,0.85,4.0,True,True,True,True,True,True,True,A289D98Z4GAZ28
A2LMSIDVE4E4IO,1.0,1.8633,0.5,2.2825,1.6476333333333333,2.9173666666666667,1.907125,0.8,0.6333333333333333,1.6931333333333332,1.6389318181818178,1.724513157894737,1.5775049999999997,0.65,1.638515,0.7,1.8633799999999998,0.55,3.0,True,True,True,True,True,True,True,A2LMSIDVE4E4IO
A2JLNOYPVW7W4V,1.0,2.3977,1.0,3.4584166666666665,,3.4584166666666665,2.04738,1.0,0.9,3.0002220338983054,4.460266666666667,3.0351203703703713,2.9636800000000005,0.9,2.907515,0.9,3.1362736842105257,0.9,11.0,True,True,True,True,True,True,True,A2JLNOYPVW7W4V
A3QZPIABOH7AFM,0.0,0.1827,0.8333333333333334,1.6195833333333332,1.9547,1.5525600000000002,1.2042599999999999,1.0,0.4166666666666667,0.3729966666666666,0.3827571428571428,0.35933199999999993,0.3868950000000001,0.4,0.26511,0.4,0.46698499999999993,0.45,4.0,True,False,True,True,True,False,False,A3QZPIABOH7AFM
A1J2KT39T9KW6S,0.0,,0.6666666666666666,2.979833333333333,2.5955,3.172,2.025,0.4,0.7666666666666667,3.5971724137931034,4.023000000000001,4.047108695652175,3.9573157894736846,0.7,3.319749999999999,0.8,3.529052631578948,0.8,9.0,True,False,False,True,True,True,True,A1J2KT39T9KW6S
A35SQDP3G7ZFEP,1.0,1.2288,0.5,2.79575,2.6312333333333333,2.960266666666667,1.72472,1.0,0.7,2.175346666666667,2.378172222222223,2.0884214285714284,2.1016850000000007,0.8,2.06926,0.6,2.3550949999999995,0.7,3.0,True,True,True,True,True,True,True,A35SQDP3G7ZFEP
A2YC6PEMIRSOAA,1.0,0.4552,0.8333333333333334,2.0435666666666665,1.6576,2.1207599999999998,0.9864599999999999,1.0,0.8,1.79915,2.0975749999999995,1.7245437499999998,1.820635,0.75,1.9651800000000001,0.8,1.6116349999999997,0.85,8.0,True,True,True,True,True,True,True,A2YC6PEMIRSOAA
A3DFZQAOZ0NK2Q,1.0,1.4433,0.8333333333333334,5.530616666666667,5.2382,5.5891,1.10374,1.0,0.7166666666666667,5.279568421052632,6.0414764705882344,22.867448837209302,5.2281315789473695,0.75,4.952616666666666,0.75,5.62269,0.65,4.0,True,True,True,True,False,True,True,A3DFZQAOZ0NK2Q
A19TD2J8506A4Y,1.0,2.4904,0.8333333333333334,3.97535,4.6704,3.83634,2.17926,1.0,0.8,3.0600800000000006,3.2570666666666668,3.0108333333333337,2.92969,0.85,3.02641,0.85,3.22414,0.7,5.0,True,True,True,True,True,True,True,A19TD2J8506A4Y
A1PV9LINP0Q5WL,1.0,1.6631,0.3333333333333333,1.8667833333333332,1.3379750000000001,2.9244,0.71815,0.2,0.5166666666666667,0.3679983333333333,0.26845172413793106,0.4611225806451613,0.24026999999999998,0.5,0.17931000000000002,0.55,0.684415,0.5,32.0,False,True,False,False,True,False,False,A1PV9LINP0Q5WL
