,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,2592380177-354626.jpg,2238576792-334659.jpg,1.0,,,,A3SSIUMI7ONK5W
1,21,,1.0,1.0,2446758985-197609.jpg,2864909447-362144.jpg,2.0,,,,A3SSIUMI7ONK5W
2,22,,1.0,2.0,2238572663-35822.jpg,2238584894-113161.jpg,1.0,,,,A3SSIUMI7ONK5W
3,23,,1.0,3.0,2901939379-143479.jpg,2964216376-294181.jpg,3.0,,,,A3SSIUMI7ONK5W
4,24,,1.0,4.0,2238580740-186218.jpg,2964220333-71258.jpg,3.0,,,,A3SSIUMI7ONK5W
5,25,,1.0,5.0,2592380177-354629.jpg,2898633421-291974.jpg,1.0,,,,A3SSIUMI7ONK5W
6,26,,1.0,6.0,2874301407-363895.jpg,2446761374-124213.jpg,1.0,,,,A3SSIUMI7ONK5W
7,27,,1.0,7.0,2874302418-65979.jpg,2238480648-19714.jpg,2.0,,,,A3SSIUMI7ONK5W
8,28,left,1.0,8.0,left.jpg,,,left,1.3428,,A3SSIUMI7ONK5W
9,29,,1.0,9.0,2592379964-131054.jpg,2575963989-130576.jpg,1.0,,,,A3SSIUMI7ONK5W
10,30,,1.0,10.0,2898617468-68274.jpg,2901943387-368037.jpg,2.0,,,,A3SSIUMI7ONK5W
11,31,,1.0,11.0,2452380832-348593.jpg,2237858942-299356.jpg,3.0,,,,A3SSIUMI7ONK5W
12,32,,1.0,12.0,2981231403-71642.jpg,2427873763-47290.jpg,3.0,,,,A3SSIUMI7ONK5W
13,33,,1.0,13.0,2874299429-139695.jpg,2446760917-347439.jpg,3.0,,,,A3SSIUMI7ONK5W
14,34,,1.0,14.0,2986451363-73599.jpg,2860302315-210704.jpg,2.0,,,,A3SSIUMI7ONK5W
15,35,,1.0,15.0,2460547508-51571.jpg,2452380166-273109.jpg,1.0,,,,A3SSIUMI7ONK5W
16,36,,1.0,16.0,2874302418-65978.jpg,2898633321-291943.jpg,3.0,,,,A3SSIUMI7ONK5W
17,37,,1.0,17.0,2864907432-362042.jpg,2901947423-70310.jpg,2.0,,,,A3SSIUMI7ONK5W
18,38,,1.0,18.0,2883268471-290842.jpg,2883268471-290843.jpg,1.0,,,,A3SSIUMI7ONK5W
19,39,left,1.0,19.0,left.jpg,,,left,1.372,,A3SSIUMI7ONK5W
20,40,,1.0,20.0,2238560245-182099.jpg,2238480980-168129.jpg,3.0,,,,A3SSIUMI7ONK5W
21,41,,1.0,21.0,2238428357-313623.jpg,2238499057-320266.jpg,1.0,,,,A3SSIUMI7ONK5W
22,42,,1.0,22.0,2460547467-349421.jpg,2981235446-294901.jpg,3.0,,,,A3SSIUMI7ONK5W
