button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2
1,[38.792],[38.79210000014305],AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,space,8.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,right,0,0,2,2,2,1,left.jpg,left,0.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,0,2.5506,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,1,2.0749,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,0,2.65,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,0,1.6551,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,1,2.1605,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,right,0,1.1475,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,space,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2898624426-291546.jpg,2981236443-71859.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2238572663-35822.jpg,2238571930-184143.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2964213381-294060.jpg,2964213381-294061.jpg,3,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2592380177-354626.jpg,2864901386-286797.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2449442529-124446.jpg,2460547536-274178.jpg,3,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2964218374-144967.jpg,2446759306-271734.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,6,6,1,left.jpg,,,left,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2874302418-65979.jpg,2238480648-19714.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,2986451363-73598.jpg,2901942443-69925.jpg,3,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,2452381505-199546.jpg,2898632385-217138.jpg,2,,,,,,,,,,,,,
,,,AS66AO98XNCUP,32,male,3,2022-09-25_06h15.28.229,memory_pilot_most_recent,2022.2.4,Win32,16.77767898,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,2864907432-362042.jpg,2989726338-74002.jpg,3,,,,,,,,,,,,,
