,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,csv_path,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,UPDATE-completed memory rep
0,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,30X31N5D69W2ZA44A5LYFHU749RAS3,A2AESV6JRC0TC0,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 00:56:27 PDT 2022,Thu Oct 13 00:56:27 PDT 2022,,,,1338,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A2AESV6JRC0TC0_2022-10-06_03h44.32.949.csv,False,True,False,True,True,True,True,1
1,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,31QNSG6A5XZ2XORXP439OZSGR7E87A,A19NX9CQGX6XI8,Submitted,Thu Oct 06 01:34:18 PDT 2022,Thu Oct 06 02:01:24 PDT 2022,Thu Oct 13 02:01:24 PDT 2022,,,,1626,100% (1/1),100% (1/1),100% (1/1),'tjs',,no results file was found on pavlovia servers,,,,,,,,,1
2,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,31UV0MXWNWIGZQPRAX03348Y3XO5I0,AOI6OCXVWYBX1,Submitted,Thu Oct 06 00:34:08 PDT 2022,Thu Oct 06 00:52:41 PDT 2022,Thu Oct 13 00:52:41 PDT 2022,,,,1113,0% (0/0),0% (0/0),0% (0/0),tjs,x,,AOI6OCXVWYBX1_2022-10-06_03h44.29.756.csv,True,True,False,True,True,True,False,1
3,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,32ZKVD547LT3Y3OHQ4KT2K61UBDB37,A34WEYAH462CBS,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 00:55:40 PDT 2022,Thu Oct 13 00:55:40 PDT 2022,,,,1291,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A34WEYAH462CBS_2022-10-06_03h37.36.824.csv,True,True,True,True,True,True,True,1
4,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,336YQZE831K2V9FIVCYVVXFFK685MG,A362SLD9P7DE1M,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 01:01:43 PDT 2022,Thu Oct 13 01:01:43 PDT 2022,,,,1654,0% (0/0),0% (0/0),0% (0/0),A362SLD9P7DE1M,,no results file was found on pavlovia servers,,,,,,,,,1
5,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,39L1G8WVWWX2L56PO7R4W8TS8ZM31G,A1R3VQ1011VATX,Submitted,Thu Oct 06 02:26:48 PDT 2022,Thu Oct 06 02:58:50 PDT 2022,Thu Oct 13 02:58:50 PDT 2022,,,,1922,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A1R3VQ1011VATX_2022-10-06_04h50.08.198.csv,True,True,True,True,False,True,False,1
6,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,39LOEL67OYBKW5QANS0JBIG0M5S380,A294C3NQHIOI8K,Submitted,Thu Oct 06 01:36:09 PDT 2022,Thu Oct 06 02:18:16 PDT 2022,Thu Oct 13 02:18:16 PDT 2022,,,,2527,0% (0/0),0% (0/0),0% (0/0),'tjs',,no results file was found on pavlovia servers,,,,,,,,,1
7,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,3ATPCQ38JEGZVWGD9BDNX3I8LUNAYH,A3SSIUMI7ONK5W,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 01:03:14 PDT 2022,Thu Oct 13 01:03:14 PDT 2022,,,,1745,100% (3/3),100% (3/3),100% (2/2),tjs,,no results file was found on pavlovia servers,,,,,,,,,1
8,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,3DBQWDE4YC48DR0I7DDV8C4FPWI5NG,A3R2EH58I8Q4YI,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 00:53:34 PDT 2022,Thu Oct 13 00:53:34 PDT 2022,,,,1165,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A3R2EH58I8Q4YI_2022-10-06_03h45.58.501.csv,True,True,True,True,True,True,False,1
9,302OLP89E4DJ69HENHQXCSU06EPACF,3OA6GJL5SYJGAPJTK2Z3YSBQTT6FK8,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Thu Oct 06 00:33:58 PDT 2022,30,BatchId:4893351;OriginalHitTemplateId:920937340;,3600,604800,Sat Oct 08 00:33:58 PDT 2022,,,3EQHHY4HQYY23ZJWK900ISVIOKWG5J,A3948CIS0U9R41,Submitted,Thu Oct 06 00:34:09 PDT 2022,Thu Oct 06 01:21:46 PDT 2022,Thu Oct 13 01:21:46 PDT 2022,,,,2857,0% (0/0),0% (0/0),0% (0/0),A3948CIS0U9R41,,no results file was found on pavlovia servers,,,,,,,,,1
