,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,2898624426-291546.jpg,2981236443-71859.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
1,21,,1.0,1.0,2238572663-35822.jpg,2238571930-184143.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
2,22,,1.0,2.0,2964213381-294060.jpg,2964213381-294061.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
3,23,,1.0,3.0,2592380177-354626.jpg,2864901386-286797.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
4,24,,1.0,4.0,2449442529-124446.jpg,2460547536-274178.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
5,25,,1.0,5.0,2964218374-144967.jpg,2446759306-271734.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
6,26,left,1.0,6.0,left.jpg,,,left,2.1468,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
7,27,,1.0,7.0,2874302418-65979.jpg,2238480648-19714.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
8,28,,1.0,8.0,2986451363-73598.jpg,2901942443-69925.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
9,29,,1.0,9.0,2452381505-199546.jpg,2898632385-217138.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
10,30,,1.0,10.0,2864907432-362042.jpg,2989726338-74002.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
11,31,,1.0,11.0,2460547508-51571.jpg,2452380166-273109.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
12,32,,1.0,12.0,2964222378-71332.jpg,2981240424-145794.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
13,33,,1.0,13.0,2986451363-73599.jpg,2898626385-216899.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
14,34,,1.0,14.0,2238480677-317399.jpg,2238573546-258454.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
15,35,,1.0,15.0,2874303365-214262.jpg,2274829821-263682.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
16,36,,1.0,16.0,2901939379-143479.jpg,2446758985-197610.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
17,37,,1.0,17.0,2874302418-65978.jpg,2238481198-19823.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
18,38,,1.0,18.0,2452380832-348593.jpg,2237858942-299356.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
19,39,,1.0,19.0,2901941401-292798.jpg,2898618327-366317.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
20,40,,1.0,20.0,2868475410-213219.jpg,2868474407-362885.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
21,41,left,1.0,21.0,left.jpg,,,left,1.9755,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
22,42,,1.0,22.0,2898635427-367120.jpg,2964221435-219434.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
23,43,,1.0,23.0,2964216465-219242.jpg,2898619327-366362.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
24,44,,1.0,24.0,2901947423-70311.jpg,2238577590-185467.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
25,45,,1.0,25.0,2449442529-124445.jpg,2898632385-217137.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
26,46,,1.0,26.0,2238481198-19822.jpg,2862691449-137104.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
27,47,,1.0,27.0,2592380177-354629.jpg,2898633421-291974.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
28,48,,1.0,28.0,2868474407-362883.jpg,2901948383-70363.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
29,49,,1.0,29.0,2883268471-290842.jpg,2901947448-70314.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
30,50,,1.0,30.0,2898635428-69104.jpg,2446759803-49250.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
31,51,,1.0,31.0,2901939379-143480.jpg,2898632385-217139.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
32,52,,1.0,32.0,2898634397-367080.jpg,2964217461-294238.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
33,53,,0.0,33.0,left.jpg,,,left,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
34,54,,1.0,34.0,2238481928-19949.jpg,2864900357-361688.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
35,55,,1.0,35.0,2238580740-186218.jpg,2238550816-254000.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
36,56,,1.0,36.0,2864910426-287204.jpg,2883268412-365899.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
37,57,,1.0,37.0,2883256307-365057.jpg,2964210336-293945.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
38,58,,0.0,38.0,left.jpg,,,left,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
39,59,,1.0,39.0,2901952513-70703.jpg,2864907361-287062.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
40,60,,1.0,40.0,2446759803-49249.jpg,2901951392-368654.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
41,61,,1.0,41.0,2898618390-216538.jpg,2901939327-367670.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
42,62,,1.0,42.0,2238560245-182099.jpg,2592380255-205553.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
43,63,,1.0,43.0,2883273443-68193.jpg,2883254439-140940.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
44,64,,1.0,44.0,2458347385-199723.jpg,2427874554-121863.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
45,65,,1.0,45.0,2883268412-365898.jpg,2238436252-314037.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
46,66,,0.0,46.0,right.jpg,,,right,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
47,67,,1.0,47.0,2981241414-145842.jpg,2874301404-139813.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
48,68,,1.0,48.0,2981231403-71642.jpg,2874305405-214397.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
49,69,,1.0,49.0,2575120738-55529.jpg,2575120738-55528.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
50,70,,1.0,50.0,2446758985-197609.jpg,2981240424-145795.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
51,71,,1.0,51.0,2874301407-363895.jpg,2446761374-124213.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
52,72,,1.0,52.0,2874299429-139695.jpg,2446760917-347439.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
53,73,,1.0,53.0,2898618444-142233.jpg,2898631359-142721.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
54,74,,1.0,54.0,2898617468-68274.jpg,2964207374-144577.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
55,75,,1.0,55.0,2460547467-349421.jpg,2981235446-294901.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
56,76,,1.0,56.0,2874307433-66280.jpg,2984615358-72439.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
57,77,,1.0,57.0,2874299429-139694.jpg,2883266367-365742.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
58,78,,1.0,58.0,2238425482-313537.jpg,2238471391-240918.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
59,79,,1.0,59.0,2238428357-313623.jpg,2238499057-320266.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
60,80,,1.0,60.0,2592379964-131054.jpg,2592380272-354673.jpg,3.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
61,81,,1.0,61.0,2898633421-291973.jpg,2575118671-277663.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
62,82,,1.0,62.0,2460547467-349422.jpg,2868487415-213924.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
63,83,,1.0,63.0,2964223381-294447.jpg,2427874231-269884.jpg,1.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
64,84,,1.0,64.0,2512875899-126682.jpg,2592380177-354628.jpg,2.0,,,,A1J39RAV7TKEMF_2022-09-21_09h07.39.041.csv
65,20,,1.0,0.0,2592379964-131054.jpg,2575963989-130576.jpg,1.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
66,21,,1.0,1.0,2964213381-294060.jpg,2981244394-145974.jpg,1.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
67,22,,1.0,2.0,2898618390-216538.jpg,2237856148-989.jpg,1.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
68,23,,1.0,3.0,2981241414-145842.jpg,2238516618-25604.jpg,1.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
69,24,,1.0,4.0,2898634397-367080.jpg,2901934408-69289.jpg,2.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
70,25,,1.0,5.0,2868474407-362883.jpg,2901948383-70363.jpg,3.0,,,,A2EVO0JF0V6Q1_2022-09-21_09h23.24.584.csv
