,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,WorkerId
A10FSZLB75VZ14_2022-10-18_09h27.25.369.csv,1.135,1.0,1.0,2.0233999996666667,,2.0233999996666667,1.21407500025,0.8,0.7333333333333333,2.1913616667166664,1.9168624999999997,2.291179545522728,1.8498300000499999,0.75,1.7272850001999995,0.75,2.9969699998999997,0.7,8.0,True,True,True,True,True,True,A10FSZLB75VZ14
AXTIQHZSLC0FE_2022-10-18_08h05.30.739.csv,2.7211,1.0,0.6666666666666666,3.792516666666667,3.11855,4.1295,1.9577599999999997,1.0,0.8833333333333333,2.995050000000001,3.9559714285714285,2.8681358490566047,3.0972300000000006,0.95,2.6390199999999995,0.9,3.2489,0.8,7.0,True,True,True,True,True,True,AXTIQHZSLC0FE
ARIWYNIH12MLF_2022-10-18_08h12.13.730.csv,2.0982,1.0,0.8333333333333334,2.2167333333333334,2.7702,2.10604,0.69176,1.0,0.65,1.4480500000000005,1.3397999999999999,1.5063384615384616,1.587505,0.7,1.4289699999999999,0.7,1.3276750000000006,0.55,4.0,True,True,True,True,True,True,ARIWYNIH12MLF
A3J4YYW1M62T39_2022-10-18_08h33.40.910.csv,0.9962,1.0,0.8333333333333334,1.7623166666666668,1.9016,1.73446,1.03564,1.0,0.75,1.5786783333333336,1.5476133333333335,1.5890333333333333,1.506295,0.85,1.548585,0.75,1.6811550000000004,0.65,3.0,True,True,True,True,True,True,A3J4YYW1M62T39
A34Z9LMI089LMT_2022-10-18_07h03.31.586.csv,0.9234,1.0,0.8333333333333334,2.04345,3.0241,1.8473199999999999,0.22965000000000002,0.4,0.6833333333333333,2.0565616666666666,1.9154,2.121978048780488,2.0514,0.65,2.1789799999999997,0.85,1.9393049999999998,0.55,4.0,True,True,False,True,True,True,A34Z9LMI089LMT
AZ5KAKZR0CVR_2022-10-18_10h46.54.594.csv,1.3167,1.0,0.6666666666666666,1.6593333333333333,1.4205,1.77875,1.3878666666666668,0.6,0.6833333333333333,1.7633383333333335,1.6515736842105266,1.8151317073170736,2.0371750000000004,0.85,1.7995050000000004,0.55,1.4533350000000003,0.65,8.0,True,True,False,True,True,True,AZ5KAKZR0CVR
A2P0EZBOOTBSAL_2022-10-18_08h31.22.807.csv,1.27,1.0,0.8333333333333334,6.393833333333333,10.503,5.572,1.0542,1.0,0.85,7.463249999999999,13.361777777777778,6.422333333333334,10.603750000000002,0.95,5.4171,0.75,6.368899999999999,0.85,4.0,True,True,True,True,False,True,A2P0EZBOOTBSAL
AH7Z2M3KSQ4DW_2022-10-18_12h28.46.444.csv,0.6923,1.0,0.5,1.6803666666666668,2.4606333333333335,0.9001,0.7331199999999999,1.0,0.65,2.0561416666666665,2.3269809523809526,1.9103051282051284,2.109695,0.75,1.7382099999999998,0.6,2.32052,0.6,6.0,True,True,True,True,True,True,AH7Z2M3KSQ4DW
A3VG8YYPGF02CA_2022-10-18_20h50.07.967.csv,1.509,1.0,0.5,1.4937833333333332,1.1769,1.8106666666666669,0.8027,0.2,0.4666666666666667,0.17574000000000004,0.21201562500000004,0.13428214285714285,0.15307999999999997,0.4,0.1553,0.5,0.21883999999999998,0.5,5.0,True,True,False,True,True,False,A3VG8YYPGF02CA
A37R0JYAB3QEX9_2022-10-18_08h02.39.722.csv,0.6404,1.0,0.8333333333333334,1.569516666666667,1.9325,1.4969199999999998,0.6158750000000001,0.8,0.8,1.754395,1.806125,1.7414625000000001,1.6994850000000004,0.85,1.61424,0.9,1.9494599999999997,0.65,6.0,True,True,True,True,True,True,A37R0JYAB3QEX9
