,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.4523,0.0,flower1.jpg,flower1_pair.jpg,left,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
1,5,1.0,flower2.jpg,,,,13.0,left,0.0,0.9823,1.0,flower2_pair.jpg,flower2.jpg,right,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
2,6,2.0,left.jpg,left,,,14.0,left,1.0,1.3826,2.0,flower3.jpg,flower3_pair.jpg,left,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4789,3.0,flower4.jpg,flower4_pair.jpg,left,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
4,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.0754,4.0,flower5_pair.jpg,flower5.jpg,right,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.9845,5.0,flower6.jpg,flower6_pair.jpg,left,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
6,10,6.0,flower6.jpg,,,,,,,,,,,,A3SSIUMI7ONK5W_2022-09-25_04h10.26.271.csv
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.8512,0.0,flower1.jpg,flower1_pair.jpg,left,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.369,1.0,flower2_pair.jpg,flower2.jpg,right,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
9,6,2.0,left.jpg,left,1.9058,left,14.0,left,1.0,2.3436,2.0,flower3.jpg,flower3_pair.jpg,left,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.0746,3.0,flower4.jpg,flower4_pair.jpg,left,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
11,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.494,4.0,flower5_pair.jpg,flower5.jpg,right,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.1315,5.0,flower6.jpg,flower6_pair.jpg,left,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
13,10,6.0,flower6.jpg,,,,,,,,,,,,A2LMSIDVE4E4IO_2022-09-25_06h14.30.418.csv
14,4,0.0,flower1.jpg,,,,12.0,left,1.0,175.0845,0.0,flower1.jpg,flower1_pair.jpg,left,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
15,5,1.0,flower2.jpg,,,,13.0,right,1.0,0.1624,1.0,flower2_pair.jpg,flower2.jpg,right,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
16,6,2.0,left.jpg,left,,,14.0,right,0.0,1.014,2.0,flower3.jpg,flower3_pair.jpg,left,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
17,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.488,3.0,flower4.jpg,flower4_pair.jpg,left,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
18,8,4.0,flower4.jpg,,,,16.0,left,0.0,0.3189,4.0,flower5_pair.jpg,flower5.jpg,right,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
19,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.1603,5.0,flower6.jpg,flower6_pair.jpg,left,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
20,10,6.0,flower6.jpg,,,,,,,,,,,,A2TI9ZTXN1GNTV_2022-09-25_06h13.01.777.csv
21,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.3239,0.0,flower1.jpg,flower1_pair.jpg,left,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
22,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.355,1.0,flower2_pair.jpg,flower2.jpg,right,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
23,6,2.0,left.jpg,left,1.7772,right,14.0,left,1.0,2.6832,2.0,flower3.jpg,flower3_pair.jpg,left,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
24,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.6835,3.0,flower4.jpg,flower4_pair.jpg,left,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.9664,4.0,flower5_pair.jpg,flower5.jpg,right,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
26,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.3269,5.0,flower6.jpg,flower6_pair.jpg,left,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
27,10,6.0,flower6.jpg,,,,,,,,,,,,A3DFUI6OKBNNGI_2022-09-25_06h15.18.506.csv
28,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.5066,0.0,flower1.jpg,flower1_pair.jpg,left,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
29,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.0591,1.0,flower2_pair.jpg,flower2.jpg,right,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
30,6,2.0,left.jpg,left,1.79,left,14.0,right,0.0,0.7678,2.0,flower3.jpg,flower3_pair.jpg,left,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
31,7,3.0,flower3.jpg,,,,15.0,left,1.0,0.7715,3.0,flower4.jpg,flower4_pair.jpg,left,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
32,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.4385,4.0,flower5_pair.jpg,flower5.jpg,right,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
33,9,5.0,flower5.jpg,,,,17.0,left,1.0,0.7765,5.0,flower6.jpg,flower6_pair.jpg,left,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
34,10,6.0,flower6.jpg,,,,,,,,,,,,A1DEYILIW8BKPC_2022-09-25_06h18.06.761.csv
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.528,0.0,flower1.jpg,flower1_pair.jpg,left,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
36,5,1.0,flower2.jpg,,,,13.0,left,0.0,13.2811,1.0,flower2_pair.jpg,flower2.jpg,right,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
37,6,2.0,left.jpg,left,,,14.0,left,1.0,2.4895,2.0,flower3.jpg,flower3_pair.jpg,left,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.4697,3.0,flower4.jpg,flower4_pair.jpg,left,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.9901,4.0,flower5_pair.jpg,flower5.jpg,right,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.3009,5.0,flower6.jpg,flower6_pair.jpg,left,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
41,10,6.0,flower6.jpg,,,,,,,,,,,,A5JUTCI1XLTTD_2022-09-25_06h12.28.721.csv
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.9413,0.0,flower1.jpg,flower1_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.9422,1.0,flower2_pair.jpg,flower2.jpg,right,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
44,6,2.0,left.jpg,left,,,14.0,left,1.0,1.2306,2.0,flower3.jpg,flower3_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.3467,3.0,flower4.jpg,flower4_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.9802,4.0,flower5_pair.jpg,flower5.jpg,right,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.4553,5.0,flower6.jpg,flower6_pair.jpg,left,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
48,10,6.0,flower6.jpg,,,,,,,,,,,,A1LSSI3O205X7F_2022-09-25_06h19.10.605.csv
49,4,0.0,flower1.jpg,,,,12.0,right,0.0,3.4882,0.0,flower1.jpg,flower1_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.3417,1.0,flower2_pair.jpg,flower2.jpg,right,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
51,6,2.0,left.jpg,left,1.5821,left,14.0,left,1.0,1.5222,2.0,flower3.jpg,flower3_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
52,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4924,3.0,flower4.jpg,flower4_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
53,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.7034,4.0,flower5_pair.jpg,flower5.jpg,right,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
54,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.7002,5.0,flower6.jpg,flower6_pair.jpg,left,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
55,10,6.0,flower6.jpg,,,,,,,,,,,,A17JUIY13I7RL8_2022-09-25_06h11.23.223.csv
56,4,0.0,flower1.jpg,,,,12.0,right,0.0,4.1846,0.0,flower1.jpg,flower1_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
57,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.8431,1.0,flower2_pair.jpg,flower2.jpg,right,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
58,6,2.0,left.jpg,left,1.874,left,14.0,left,1.0,1.6587,2.0,flower3.jpg,flower3_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
59,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.3052,3.0,flower4.jpg,flower4_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
60,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0514,4.0,flower5_pair.jpg,flower5.jpg,right,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
61,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.669,5.0,flower6.jpg,flower6_pair.jpg,left,A344BXT88DM2ZH_2022-09-25_06h13.49.540.csv
