target_image,pair,layer,correct
2874302418-65979.jpg,2238480648-19714.jpg,2,
2446758985-197609.jpg,2981240424-145795.jpg,1,
2898624426-291546.jpg,2964218432-369263.jpg,1,
2901941401-292798.jpg,2898618327-366317.jpg,1,
2901939379-143480.jpg,2898632385-217139.jpg,3,
2868475410-213219.jpg,2901946465-218350.jpg,1,
2460547467-349422.jpg,2868487415-213924.jpg,2,
2458347385-199723.jpg,2427874554-121863.jpg,2,
2874302418-65978.jpg,2898633321-291943.jpg,3,
2898618444-142233.jpg,2898631359-142721.jpg,1,
2901939379-143479.jpg,2460547467-349423.jpg,1,
2898634397-367080.jpg,2901934408-69289.jpg,2,
2238572663-35822.jpg,2238584894-113161.jpg,1,
2238428357-313623.jpg,2238499057-320266.jpg,1,
right.jpg,,,right
2446759803-49249.jpg,2446760601-272099.jpg,1,
2864907432-362042.jpg,2864901420-212147.jpg,1,
2449442529-124445.jpg,2986408373-73286.jpg,2,
2592379964-131054.jpg,2575963989-130576.jpg,1,
2460547467-349421.jpg,2452380166-273110.jpg,2,
2592380177-354626.jpg,2238576792-334659.jpg,1,
2981241414-145842.jpg,2427873848-47312.jpg,3,
right.jpg,,,right
2452381505-199546.jpg,2994401319-148290.jpg,3,
2238480677-317399.jpg,2238481630-168218.jpg,1,
2874307433-66280.jpg,2981246400-220365.jpg,2,
2964218374-144967.jpg,2446759306-271734.jpg,2,
2898635428-69104.jpg,2446759803-49250.jpg,1,
left.jpg,,,left
2883268471-290842.jpg,2883268471-290843.jpg,1,
2883256307-365057.jpg,2864904453-63933.jpg,3,
2964216465-219242.jpg,2864900319-137787.jpg,2,
2964223381-294447.jpg,2901941438-69836.jpg,2,
2874299429-139694.jpg,2981244403-72215.jpg,2,
2898633421-291973.jpg,2575118671-277663.jpg,2,
2981231403-71642.jpg,2874305405-214397.jpg,2,
2986451363-73598.jpg,2984628361-295995.jpg,2,
2238481198-19822.jpg,2862691449-137104.jpg,1,
2898618390-216538.jpg,2237856148-989.jpg,1,
2868474407-362883.jpg,2901948383-70363.jpg,3,
2874299429-139695.jpg,2901942443-69923.jpg,2,
2986451363-73599.jpg,2898626385-216899.jpg,1,
2512875899-126682.jpg,2460547536-274179.jpg,1,
right.jpg,,,right
2238425482-313537.jpg,2238436322-314047.jpg,2,
2238580740-186218.jpg,2238521193-26285.jpg,2,
2592380177-354629.jpg,2512875587-350044.jpg,3,
2874301407-363895.jpg,2446761374-124213.jpg,1,
2901947423-70311.jpg,2238573447-333826.jpg,2,
2460547508-51571.jpg,2901941438-69835.jpg,3,
2452380832-348593.jpg,2237858942-299356.jpg,3,
2898635427-367120.jpg,2898621427-366486.jpg,3,
2238560245-182099.jpg,2238480980-168129.jpg,3,
2883268412-365898.jpg,2238436252-314037.jpg,3,
right.jpg,,,right
2898617468-68274.jpg,2964207374-144577.jpg,3,
2964213381-294060.jpg,2964213381-294061.jpg,3,
2864910426-287204.jpg,2901939433-69672.jpg,3,
2901952513-70703.jpg,2868469411-287540.jpg,2,
2964222378-71332.jpg,2901933382-367209.jpg,2,
2883273443-68193.jpg,2898627427-366763.jpg,3,
2449442529-124446.jpg,2460547536-274178.jpg,3,
2238481928-19949.jpg,2981241419-145844.jpg,3,
2874303365-214262.jpg,2864911457-362260.jpg,3,
2575120738-55529.jpg,2238531493-28260.jpg,3,
