target_image,pair,layer,correct
2452381505-199546.jpg,2449442621-272560.jpg,2,
2898617468-68274.jpg,2238433340-164524.jpg,2,
2964218374-144967.jpg,2446758985-197610.jpg,2,
2898633421-291973.jpg,2512876023-52283.jpg,1,
2592380177-354626.jpg,2238360787-310962.jpg,2,
2883256307-365057.jpg,2901947448-70315.jpg,3,
2864910426-287204.jpg,2898632427-367006.jpg,3,
right.jpg,,,right
2874302418-65978.jpg,2898626385-216899.jpg,1,
2898618444-142233.jpg,2804906319-133082.jpg,3,
2446759803-49249.jpg,2446760844-124088.jpg,3,
2883268412-365898.jpg,2984615358-72439.jpg,2,
2238481928-19949.jpg,2989726338-74002.jpg,2,
2901952513-70703.jpg,2901949316-293454.jpg,2,
2986451363-73599.jpg,2238571930-184142.jpg,2,
2964213381-294060.jpg,2981244394-145974.jpg,1,
right.jpg,,,right
2592379964-131054.jpg,2575963989-130576.jpg,1,
2964223381-294447.jpg,2901938432-367628.jpg,3,
2460547508-51571.jpg,2446760917-347439.jpg,1,
2238580740-186218.jpg,2238550816-254000.jpg,1,
2446758985-197609.jpg,2452380166-273110.jpg,2,
2460547467-349421.jpg,2898619327-366362.jpg,3,
2874302418-65979.jpg,2238470808-18373.jpg,3,
2592380177-354629.jpg,2847210303-60991.jpg,3,
2512875899-126682.jpg,2238547107-328393.jpg,2,
right.jpg,,,right
2898624426-291546.jpg,2898626395-216901.jpg,2,
2981231403-71642.jpg,2864900358-63717.jpg,2,
2575120738-55529.jpg,2460547859-126142.jpg,3,
2238572663-35822.jpg,2238375825-162206.jpg,3,
2898618390-216538.jpg,2238574968-36441.jpg,3,
2964216465-219242.jpg,2981231403-71641.jpg,3,
2446759347-347016.jpg,2964224310-219528.jpg,1,
2901939379-143480.jpg,2981229442-369621.jpg,1,
2898635428-69104.jpg,2446759803-49250.jpg,1,
2238560245-182099.jpg,2901943480-218116.jpg,3,
2901948350-218459.jpg,2238482369-94216.jpg,3,
2449442529-124446.jpg,2964216376-294181.jpg,2,
2898634397-367080.jpg,2898636423-69152.jpg,2,
right.jpg,,,right
2901939379-143479.jpg,2446759803-49251.jpg,1,
2238481198-19822.jpg,2864908448-64141.jpg,1,
2449441881-272368.jpg,2984615361-295509.jpg,1,
2238425482-313537.jpg,2238471391-240918.jpg,1,
2981241414-145842.jpg,2856919327-359676.jpg,1,
left.jpg,,,left
2452380832-348593.jpg,2237856283-1014.jpg,3,
2883254439-140941.jpg,2883255450-215311.jpg,1,
2874307433-66280.jpg,2986447306-296584.jpg,1,
2874301407-363895.jpg,2989715317-371697.jpg,3,
2238428357-313623.jpg,2984616310-220514.jpg,2,
2883268471-290842.jpg,2898623398-68538.jpg,2,
2868475410-213219.jpg,2862700345-211776.jpg,2,
2460547467-349422.jpg,2989721311-296963.jpg,2,
2901947423-70311.jpg,2446759065-197639.jpg,2,
2874299429-139695.jpg,2874313394-140557.jpg,3,
2458347385-199723.jpg,2238480434-93829.jpg,1,
2864907432-362042.jpg,2864901420-212147.jpg,1,
2898635427-367120.jpg,2898624426-291545.jpg,3,
2238480677-317399.jpg,2238481630-168218.jpg,1,
2901941401-292798.jpg,2964223380-219495.jpg,2,
2449442529-124445.jpg,2901946439-144040.jpg,3,
2874303365-214262.jpg,2609793677-355397.jpg,1,
2868474407-362883.jpg,2898634332-367068.jpg,3,
